episode,time,node,sf
1,9300,pop1,a
1,9300,pop1,b
1,9300,pop1,c
1,9300,pop2,a
1,9300,pop2,b
1,9300,pop2,c
1,9300,pop3,a
1,9300,pop3,b
1,9300,pop3,c
1,9300,pop4,b
1,9300,pop4,c
1,9300,pop5,b
1,9300,pop5,c
1,9300,pop6,a
1,9300,pop6,b
1,9300,pop6,c
1,9300,pop7,a
1,9300,pop7,b
1,9300,pop7,c
1,9300,pop8,a
1,9300,pop8,b
1,9300,pop8,c
1,9300,pop9,a
1,9300,pop9,b
1,9300,pop9,c
1,9300,pop10,a
1,9300,pop10,b
1,9300,pop10,c
1,9400,pop0,a
1,9400,pop0,b
1,9400,pop0,c
1,9400,pop1,a
1,9400,pop1,b
1,9400,pop1,c
1,9400,pop2,a
1,9400,pop2,b
1,9400,pop2,c
1,9400,pop3,a
1,9400,pop3,b
1,9400,pop3,c
1,9400,pop4,b
1,9400,pop4,c
1,9400,pop5,b
1,9400,pop5,c
1,9400,pop6,a
1,9400,pop6,b
1,9400,pop6,c
1,9400,pop7,a
1,9400,pop7,b
1,9400,pop7,c
1,9400,pop8,a
1,9400,pop8,b
1,9400,pop8,c
1,9400,pop9,a
1,9400,pop9,b
1,9400,pop9,c
1,9400,pop10,a
1,9400,pop10,b
1,9400,pop10,c
1,9500,pop0,b
1,9500,pop0,c
1,9500,pop1,a
1,9500,pop1,b
1,9500,pop1,c
1,9500,pop2,a
1,9500,pop2,b
1,9500,pop2,c
1,9500,pop3,a
1,9500,pop3,b
1,9500,pop3,c
1,9500,pop4,b
1,9500,pop4,c
1,9500,pop5,b
1,9500,pop5,c
1,9500,pop6,a
1,9500,pop6,b
1,9500,pop6,c
1,9500,pop7,a
1,9500,pop7,b
1,9500,pop7,c
1,9500,pop8,a
1,9500,pop8,b
1,9500,pop8,c
1,9500,pop9,a
1,9500,pop9,b
1,9500,pop9,c
1,9500,pop10,a
1,9500,pop10,b
1,9500,pop10,c
1,9600,pop0,a
1,9600,pop0,b
1,9600,pop0,c
1,9600,pop1,a
1,9600,pop1,b
1,9600,pop1,c
1,9600,pop2,a
1,9600,pop2,b
1,9600,pop2,c
1,9600,pop3,a
1,9600,pop3,b
1,9600,pop3,c
1,9600,pop4,b
1,9600,pop4,c
1,9600,pop5,b
1,9600,pop5,c
1,9600,pop6,a
1,9600,pop6,b
1,9600,pop6,c
1,9600,pop7,a
1,9600,pop7,b
1,9600,pop7,c
1,9600,pop8,a
1,9600,pop8,b
1,9600,pop8,c
1,9600,pop9,a
1,9600,pop9,b
1,9600,pop9,c
1,9600,pop10,a
1,9600,pop10,b
1,9600,pop10,c
1,9700,pop0,b
1,9700,pop0,c
1,9700,pop1,a
1,9700,pop1,b
1,9700,pop1,c
1,9700,pop2,a
1,9700,pop2,b
1,9700,pop2,c
1,9700,pop3,a
1,9700,pop3,b
1,9700,pop3,c
1,9700,pop4,c
1,9700,pop5,b
1,9700,pop5,c
1,9700,pop6,a
1,9700,pop6,b
1,9700,pop6,c
1,9700,pop7,a
1,9700,pop7,b
1,9700,pop7,c
1,9700,pop8,a
1,9700,pop8,b
1,9700,pop8,c
1,9700,pop9,b
1,9700,pop9,c
1,9700,pop10,a
1,9700,pop10,b
1,9700,pop10,c
1,9800,pop0,a
1,9800,pop0,b
1,9800,pop0,c
1,9800,pop1,a
1,9800,pop1,b
1,9800,pop1,c
1,9800,pop2,a
1,9800,pop2,b
1,9800,pop2,c
1,9800,pop3,a
1,9800,pop3,b
1,9800,pop3,c
1,9800,pop4,b
1,9800,pop4,c
1,9800,pop5,b
1,9800,pop5,c
1,9800,pop6,a
1,9800,pop6,b
1,9800,pop6,c
1,9800,pop7,a
1,9800,pop7,b
1,9800,pop7,c
1,9800,pop8,a
1,9800,pop8,b
1,9800,pop8,c
1,9800,pop9,a
1,9800,pop9,b
1,9800,pop9,c
1,9800,pop10,a
1,9800,pop10,b
1,9800,pop10,c
1,9900,pop0,a
1,9900,pop0,b
1,9900,pop0,c
1,9900,pop1,a
1,9900,pop1,b
1,9900,pop1,c
1,9900,pop2,a
1,9900,pop2,b
1,9900,pop2,c
1,9900,pop3,a
1,9900,pop3,b
1,9900,pop3,c
1,9900,pop4,c
1,9900,pop5,b
1,9900,pop5,c
1,9900,pop6,a
1,9900,pop6,b
1,9900,pop6,c
1,9900,pop7,a
1,9900,pop7,b
1,9900,pop7,c
1,9900,pop8,a
1,9900,pop8,b
1,9900,pop8,c
1,9900,pop9,b
1,9900,pop9,c
1,9900,pop10,a
1,9900,pop10,b
1,9900,pop10,c
1,10000,pop0,a
1,10000,pop0,b
1,10000,pop0,c
1,10000,pop1,a
1,10000,pop1,b
1,10000,pop1,c
1,10000,pop2,a
1,10000,pop2,b
1,10000,pop2,c
1,10000,pop3,a
1,10000,pop3,b
1,10000,pop3,c
1,10000,pop4,b
1,10000,pop4,c
1,10000,pop5,b
1,10000,pop5,c
1,10000,pop6,a
1,10000,pop6,b
1,10000,pop6,c
1,10000,pop7,a
1,10000,pop7,b
1,10000,pop7,c
1,10000,pop8,a
1,10000,pop8,b
1,10000,pop8,c
1,10000,pop9,a
1,10000,pop9,b
1,10000,pop9,c
1,10000,pop10,a
1,10000,pop10,b
1,10000,pop10,c
1,10100,pop0,a
1,10100,pop0,b
1,10100,pop0,c
1,10100,pop1,a
1,10100,pop1,b
1,10100,pop1,c
1,10100,pop2,a
1,10100,pop2,b
1,10100,pop2,c
1,10100,pop3,a
1,10100,pop3,b
1,10100,pop3,c
1,10100,pop4,c
1,10100,pop5,b
1,10100,pop5,c
1,10100,pop6,a
1,10100,pop6,b
1,10100,pop6,c
1,10100,pop7,a
1,10100,pop7,b
1,10100,pop7,c
1,10100,pop8,a
1,10100,pop8,b
1,10100,pop8,c
1,10100,pop9,b
1,10100,pop9,c
1,10100,pop10,a
1,10100,pop10,b
1,10100,pop10,c
1,10200,pop0,a
1,10200,pop0,b
1,10200,pop0,c
1,10200,pop1,a
1,10200,pop1,b
1,10200,pop1,c
1,10200,pop2,a
1,10200,pop2,b
1,10200,pop2,c
1,10200,pop3,a
1,10200,pop3,b
1,10200,pop3,c
1,10200,pop4,c
1,10200,pop5,b
1,10200,pop5,c
1,10200,pop6,a
1,10200,pop6,b
1,10200,pop6,c
1,10200,pop7,a
1,10200,pop7,b
1,10200,pop7,c
1,10200,pop8,a
1,10200,pop8,b
1,10200,pop8,c
1,10200,pop9,b
1,10200,pop9,c
1,10200,pop10,a
1,10200,pop10,b
1,10200,pop10,c
1,10300,pop0,a
1,10300,pop0,b
1,10300,pop0,c
1,10300,pop1,a
1,10300,pop1,b
1,10300,pop1,c
1,10300,pop2,a
1,10300,pop2,b
1,10300,pop2,c
1,10300,pop3,a
1,10300,pop3,b
1,10300,pop3,c
1,10300,pop4,c
1,10300,pop5,b
1,10300,pop5,c
1,10300,pop6,a
1,10300,pop6,b
1,10300,pop6,c
1,10300,pop7,a
1,10300,pop7,b
1,10300,pop7,c
1,10300,pop8,a
1,10300,pop8,b
1,10300,pop8,c
1,10300,pop9,b
1,10300,pop9,c
1,10300,pop10,a
1,10300,pop10,b
1,10300,pop10,c
1,10400,pop0,a
1,10400,pop0,b
1,10400,pop0,c
1,10400,pop1,a
1,10400,pop1,b
1,10400,pop1,c
1,10400,pop2,a
1,10400,pop2,b
1,10400,pop2,c
1,10400,pop3,a
1,10400,pop3,b
1,10400,pop3,c
1,10400,pop4,c
1,10400,pop5,b
1,10400,pop5,c
1,10400,pop6,a
1,10400,pop6,b
1,10400,pop6,c
1,10400,pop7,a
1,10400,pop7,b
1,10400,pop7,c
1,10400,pop8,a
1,10400,pop8,b
1,10400,pop8,c
1,10400,pop9,b
1,10400,pop9,c
1,10400,pop10,a
1,10400,pop10,b
1,10400,pop10,c
1,10500,pop0,a
1,10500,pop0,b
1,10500,pop0,c
1,10500,pop1,a
1,10500,pop1,b
1,10500,pop1,c
1,10500,pop2,a
1,10500,pop2,b
1,10500,pop2,c
1,10500,pop3,a
1,10500,pop3,b
1,10500,pop3,c
1,10500,pop4,c
1,10500,pop5,b
1,10500,pop5,c
1,10500,pop6,a
1,10500,pop6,b
1,10500,pop6,c
1,10500,pop7,a
1,10500,pop7,b
1,10500,pop7,c
1,10500,pop8,a
1,10500,pop8,c
1,10500,pop9,b
1,10500,pop9,c
1,10500,pop10,a
1,10500,pop10,b
1,10500,pop10,c
1,10600,pop0,b
1,10600,pop0,c
1,10600,pop1,a
1,10600,pop1,b
1,10600,pop1,c
1,10600,pop2,a
1,10600,pop2,b
1,10600,pop2,c
1,10600,pop3,a
1,10600,pop3,b
1,10600,pop3,c
1,10600,pop4,b
1,10600,pop4,c
1,10600,pop5,b
1,10600,pop5,c
1,10600,pop6,a
1,10600,pop6,b
1,10600,pop6,c
1,10600,pop7,a
1,10600,pop7,b
1,10600,pop7,c
1,10600,pop8,a
1,10600,pop8,b
1,10600,pop8,c
1,10600,pop9,a
1,10600,pop9,b
1,10600,pop9,c
1,10600,pop10,a
1,10600,pop10,b
1,10600,pop10,c
1,10700,pop0,a
1,10700,pop0,b
1,10700,pop0,c
1,10700,pop1,a
1,10700,pop1,b
1,10700,pop1,c
1,10700,pop2,a
1,10700,pop2,b
1,10700,pop2,c
1,10700,pop3,a
1,10700,pop3,b
1,10700,pop3,c
1,10700,pop4,c
1,10700,pop5,b
1,10700,pop5,c
1,10700,pop6,a
1,10700,pop6,b
1,10700,pop6,c
1,10700,pop7,a
1,10700,pop7,b
1,10700,pop7,c
1,10700,pop8,a
1,10700,pop8,b
1,10700,pop8,c
1,10700,pop9,b
1,10700,pop9,c
1,10700,pop10,a
1,10700,pop10,b
1,10700,pop10,c
1,10800,pop0,a
1,10800,pop0,b
1,10800,pop0,c
1,10800,pop1,a
1,10800,pop1,b
1,10800,pop1,c
1,10800,pop2,a
1,10800,pop2,b
1,10800,pop2,c
1,10800,pop3,a
1,10800,pop3,b
1,10800,pop3,c
1,10800,pop4,b
1,10800,pop4,c
1,10800,pop5,b
1,10800,pop5,c
1,10800,pop6,a
1,10800,pop6,b
1,10800,pop6,c
1,10800,pop7,a
1,10800,pop7,b
1,10800,pop7,c
1,10800,pop8,a
1,10800,pop8,b
1,10800,pop8,c
1,10800,pop9,a
1,10800,pop9,b
1,10800,pop9,c
1,10800,pop10,a
1,10800,pop10,b
1,10800,pop10,c
1,10900,pop0,a
1,10900,pop0,b
1,10900,pop0,c
1,10900,pop1,a
1,10900,pop1,b
1,10900,pop1,c
1,10900,pop2,a
1,10900,pop2,b
1,10900,pop2,c
1,10900,pop3,a
1,10900,pop3,b
1,10900,pop3,c
1,10900,pop4,c
1,10900,pop5,b
1,10900,pop5,c
1,10900,pop6,a
1,10900,pop6,b
1,10900,pop6,c
1,10900,pop7,a
1,10900,pop7,b
1,10900,pop7,c
1,10900,pop8,a
1,10900,pop8,b
1,10900,pop8,c
1,10900,pop9,b
1,10900,pop9,c
1,10900,pop10,a
1,10900,pop10,b
1,10900,pop10,c
1,11000,pop0,b
1,11000,pop0,c
1,11000,pop1,a
1,11000,pop1,b
1,11000,pop1,c
1,11000,pop2,a
1,11000,pop2,b
1,11000,pop2,c
1,11000,pop3,a
1,11000,pop3,b
1,11000,pop3,c
1,11000,pop4,b
1,11000,pop4,c
1,11000,pop5,b
1,11000,pop5,c
1,11000,pop6,a
1,11000,pop6,b
1,11000,pop6,c
1,11000,pop7,a
1,11000,pop7,b
1,11000,pop7,c
1,11000,pop8,a
1,11000,pop8,b
1,11000,pop8,c
1,11000,pop9,a
1,11000,pop9,b
1,11000,pop9,c
1,11000,pop10,a
1,11000,pop10,b
1,11000,pop10,c
1,11100,pop0,a
1,11100,pop0,b
1,11100,pop0,c
1,11100,pop1,a
1,11100,pop1,b
1,11100,pop1,c
1,11100,pop2,a
1,11100,pop2,b
1,11100,pop2,c
1,11100,pop3,a
1,11100,pop3,b
1,11100,pop3,c
1,11100,pop4,b
1,11100,pop4,c
1,11100,pop5,b
1,11100,pop5,c
1,11100,pop6,a
1,11100,pop6,b
1,11100,pop6,c
1,11100,pop7,a
1,11100,pop7,b
1,11100,pop7,c
1,11100,pop8,a
1,11100,pop8,b
1,11100,pop8,c
1,11100,pop9,a
1,11100,pop9,b
1,11100,pop9,c
1,11100,pop10,a
1,11100,pop10,b
1,11100,pop10,c
1,11200,pop0,a
1,11200,pop0,b
1,11200,pop1,a
1,11200,pop1,b
1,11200,pop1,c
1,11200,pop2,a
1,11200,pop2,b
1,11200,pop2,c
1,11200,pop3,a
1,11200,pop3,b
1,11200,pop3,c
1,11200,pop4,c
1,11200,pop5,b
1,11200,pop5,c
1,11200,pop6,a
1,11200,pop6,b
1,11200,pop6,c
1,11200,pop7,a
1,11200,pop7,b
1,11200,pop7,c
1,11200,pop8,a
1,11200,pop8,b
1,11200,pop8,c
1,11200,pop9,b
1,11200,pop9,c
1,11200,pop10,a
1,11200,pop10,b
1,11200,pop10,c
1,11300,pop0,a
1,11300,pop0,b
1,11300,pop0,c
1,11300,pop1,a
1,11300,pop1,b
1,11300,pop1,c
1,11300,pop2,a
1,11300,pop2,b
1,11300,pop2,c
1,11300,pop3,a
1,11300,pop3,b
1,11300,pop3,c
1,11300,pop4,a
1,11300,pop4,b
1,11300,pop4,c
1,11300,pop5,b
1,11300,pop5,c
1,11300,pop6,a
1,11300,pop6,b
1,11300,pop6,c
1,11300,pop7,a
1,11300,pop7,b
1,11300,pop7,c
1,11300,pop8,a
1,11300,pop8,c
1,11300,pop9,b
1,11300,pop9,c
1,11300,pop10,a
1,11300,pop10,b
1,11300,pop10,c
1,11400,pop0,a
1,11400,pop0,b
1,11400,pop0,c
1,11400,pop1,a
1,11400,pop1,b
1,11400,pop1,c
1,11400,pop2,a
1,11400,pop2,b
1,11400,pop2,c
1,11400,pop3,a
1,11400,pop3,b
1,11400,pop3,c
1,11400,pop4,b
1,11400,pop4,c
1,11400,pop5,b
1,11400,pop5,c
1,11400,pop6,a
1,11400,pop6,b
1,11400,pop6,c
1,11400,pop7,a
1,11400,pop7,b
1,11400,pop7,c
1,11400,pop8,a
1,11400,pop8,b
1,11400,pop8,c
1,11400,pop9,a
1,11400,pop9,b
1,11400,pop9,c
1,11400,pop10,a
1,11400,pop10,b
1,11400,pop10,c
1,11500,pop0,a
1,11500,pop0,b
1,11500,pop1,a
1,11500,pop1,b
1,11500,pop1,c
1,11500,pop2,a
1,11500,pop2,b
1,11500,pop2,c
1,11500,pop3,a
1,11500,pop3,b
1,11500,pop3,c
1,11500,pop4,c
1,11500,pop5,b
1,11500,pop5,c
1,11500,pop6,a
1,11500,pop6,b
1,11500,pop6,c
1,11500,pop7,a
1,11500,pop7,b
1,11500,pop7,c
1,11500,pop8,a
1,11500,pop8,b
1,11500,pop8,c
1,11500,pop9,b
1,11500,pop9,c
1,11500,pop10,a
1,11500,pop10,b
1,11500,pop10,c
1,11600,pop0,b
1,11600,pop0,c
1,11600,pop1,a
1,11600,pop1,b
1,11600,pop1,c
1,11600,pop2,a
1,11600,pop2,b
1,11600,pop2,c
1,11600,pop3,a
1,11600,pop3,b
1,11600,pop3,c
1,11600,pop4,b
1,11600,pop4,c
1,11600,pop5,b
1,11600,pop5,c
1,11600,pop6,a
1,11600,pop6,b
1,11600,pop6,c
1,11600,pop7,a
1,11600,pop7,b
1,11600,pop7,c
1,11600,pop8,a
1,11600,pop8,b
1,11600,pop8,c
1,11600,pop9,a
1,11600,pop9,b
1,11600,pop9,c
1,11600,pop10,a
1,11600,pop10,b
1,11600,pop10,c
1,11700,pop0,a
1,11700,pop0,b
1,11700,pop0,c
1,11700,pop1,a
1,11700,pop1,b
1,11700,pop1,c
1,11700,pop2,a
1,11700,pop2,b
1,11700,pop2,c
1,11700,pop3,a
1,11700,pop3,b
1,11700,pop3,c
1,11700,pop4,b
1,11700,pop4,c
1,11700,pop5,b
1,11700,pop5,c
1,11700,pop6,a
1,11700,pop6,b
1,11700,pop6,c
1,11700,pop7,a
1,11700,pop7,b
1,11700,pop7,c
1,11700,pop8,a
1,11700,pop8,b
1,11700,pop8,c
1,11700,pop9,a
1,11700,pop9,b
1,11700,pop9,c
1,11700,pop10,a
1,11700,pop10,b
1,11700,pop10,c
1,11800,pop0,a
1,11800,pop0,b
1,11800,pop0,c
1,11800,pop1,a
1,11800,pop1,b
1,11800,pop1,c
1,11800,pop2,a
1,11800,pop2,b
1,11800,pop2,c
1,11800,pop3,b
1,11800,pop3,c
1,11800,pop4,b
1,11800,pop4,c
1,11800,pop5,b
1,11800,pop5,c
1,11800,pop6,a
1,11800,pop6,b
1,11800,pop6,c
1,11800,pop7,a
1,11800,pop7,b
1,11800,pop7,c
1,11800,pop8,a
1,11800,pop8,b
1,11800,pop8,c
1,11800,pop9,a
1,11800,pop9,b
1,11800,pop9,c
1,11800,pop10,a
1,11800,pop10,b
1,11800,pop10,c
1,11900,pop0,a
1,11900,pop0,b
1,11900,pop0,c
1,11900,pop1,a
1,11900,pop1,b
1,11900,pop1,c
1,11900,pop2,a
1,11900,pop2,b
1,11900,pop2,c
1,11900,pop3,a
1,11900,pop3,b
1,11900,pop3,c
1,11900,pop4,c
1,11900,pop5,b
1,11900,pop5,c
1,11900,pop6,a
1,11900,pop6,b
1,11900,pop6,c
1,11900,pop7,a
1,11900,pop7,b
1,11900,pop7,c
1,11900,pop8,a
1,11900,pop8,b
1,11900,pop8,c
1,11900,pop9,b
1,11900,pop9,c
1,11900,pop10,a
1,11900,pop10,b
1,11900,pop10,c
1,12000,pop0,a
1,12000,pop0,b
1,12000,pop0,c
1,12000,pop1,a
1,12000,pop1,b
1,12000,pop1,c
1,12000,pop2,a
1,12000,pop2,b
1,12000,pop2,c
1,12000,pop3,a
1,12000,pop3,b
1,12000,pop3,c
1,12000,pop4,b
1,12000,pop4,c
1,12000,pop5,b
1,12000,pop5,c
1,12000,pop6,a
1,12000,pop6,b
1,12000,pop6,c
1,12000,pop7,a
1,12000,pop7,b
1,12000,pop7,c
1,12000,pop8,a
1,12000,pop8,b
1,12000,pop8,c
1,12000,pop9,b
1,12000,pop9,c
1,12000,pop10,a
1,12000,pop10,b
1,12000,pop10,c
1,12100,pop0,a
1,12100,pop0,b
1,12100,pop0,c
1,12100,pop1,a
1,12100,pop1,b
1,12100,pop1,c
1,12100,pop2,a
1,12100,pop2,b
1,12100,pop2,c
1,12100,pop3,a
1,12100,pop3,b
1,12100,pop3,c
1,12100,pop4,c
1,12100,pop5,b
1,12100,pop5,c
1,12100,pop6,a
1,12100,pop6,b
1,12100,pop6,c
1,12100,pop7,a
1,12100,pop7,b
1,12100,pop7,c
1,12100,pop8,a
1,12100,pop8,b
1,12100,pop8,c
1,12100,pop9,b
1,12100,pop9,c
1,12100,pop10,a
1,12100,pop10,b
1,12100,pop10,c
1,12200,pop0,a
1,12200,pop0,b
1,12200,pop0,c
1,12200,pop1,a
1,12200,pop1,b
1,12200,pop1,c
1,12200,pop2,a
1,12200,pop2,b
1,12200,pop2,c
1,12200,pop3,a
1,12200,pop3,b
1,12200,pop3,c
1,12200,pop4,b
1,12200,pop4,c
1,12200,pop5,b
1,12200,pop5,c
1,12200,pop6,a
1,12200,pop6,b
1,12200,pop6,c
1,12200,pop7,a
1,12200,pop7,b
1,12200,pop7,c
1,12200,pop8,a
1,12200,pop8,b
1,12200,pop8,c
1,12200,pop9,a
1,12200,pop9,b
1,12200,pop9,c
1,12200,pop10,a
1,12200,pop10,b
1,12200,pop10,c
1,12300,pop0,a
1,12300,pop0,b
1,12300,pop0,c
1,12300,pop1,a
1,12300,pop1,b
1,12300,pop1,c
1,12300,pop2,a
1,12300,pop2,b
1,12300,pop2,c
1,12300,pop3,a
1,12300,pop3,b
1,12300,pop3,c
1,12300,pop4,b
1,12300,pop4,c
1,12300,pop5,b
1,12300,pop5,c
1,12300,pop6,a
1,12300,pop6,b
1,12300,pop6,c
1,12300,pop7,a
1,12300,pop7,b
1,12300,pop7,c
1,12300,pop8,a
1,12300,pop8,b
1,12300,pop8,c
1,12300,pop9,a
1,12300,pop9,b
1,12300,pop9,c
1,12300,pop10,a
1,12300,pop10,b
1,12300,pop10,c
1,12400,pop0,a
1,12400,pop0,b
1,12400,pop0,c
1,12400,pop1,a
1,12400,pop1,b
1,12400,pop1,c
1,12400,pop2,a
1,12400,pop2,b
1,12400,pop2,c
1,12400,pop3,a
1,12400,pop3,b
1,12400,pop3,c
1,12400,pop4,c
1,12400,pop5,b
1,12400,pop5,c
1,12400,pop6,a
1,12400,pop6,b
1,12400,pop6,c
1,12400,pop7,a
1,12400,pop7,b
1,12400,pop7,c
1,12400,pop8,a
1,12400,pop8,b
1,12400,pop8,c
1,12400,pop9,b
1,12400,pop9,c
1,12400,pop10,a
1,12400,pop10,b
1,12400,pop10,c
1,12500,pop0,a
1,12500,pop0,b
1,12500,pop0,c
1,12500,pop1,a
1,12500,pop1,b
1,12500,pop1,c
1,12500,pop2,a
1,12500,pop2,b
1,12500,pop2,c
1,12500,pop3,a
1,12500,pop3,b
1,12500,pop3,c
1,12500,pop4,b
1,12500,pop4,c
1,12500,pop5,b
1,12500,pop5,c
1,12500,pop6,a
1,12500,pop6,b
1,12500,pop6,c
